	"lang"
{
	"Language"		"Russian"

		"DOTA_Tooltip_ability_minotaur_fear"	"Страх"
		"DOTA_Tooltip_ability_minotaur_fear_Description"	"При виде Таура у врагов возникает чувство первобытного страха, из-за чего их броня уменьшается."
		"DOTA_Tooltip_ability_minotaur_fear_penalty_armor"	"СНИЖЕНИЕ БРОНИ:"

		"DOTA_Tooltip_modifier_minotaur_fear_effect"	"Страх"
		"DOTA_Tooltip_modifier_minotaur_fear_effect_Description"	"Броня этого воина снижена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

		"DOTA_Tooltip_ability_minotaur_demonic_power"	"Сила Минотавра"
		"DOTA_Tooltip_ability_minotaur_demonic_power_Description"	"Часть урона, наносимого Тауром, передается воинам, которые стоят рядом с целью его атаки."
		"DOTA_Tooltip_ability_minotaur_demonic_power_cleave_percent"	"%УРОН СОСЕДНИМ ЦЕЛЯМ:"

		"DOTA_Tooltip_ability_minotaur_guardian_spirits"	"Духи-Хранители"
		"DOTA_Tooltip_ability_minotaur_guardian_spirits_Description"	"Призыв мощных двойников-духов на %illusion_duration% секунд."
		"DOTA_Tooltip_ability_minotaur_guardian_spirits_outgoing_damage_percentage"	"%УРОН, НАНОСИМЫЙ ДУХАМИ:"
		"DOTA_Tooltip_ability_minotaur_guardian_spirits_incoming_damage_percentage"	"%УРОН, ПОЛУЧАЕМЫЙ ДУХАМИ:"		
		"DOTA_Tooltip_ability_minotaur_guardian_spirits_images_count"	"КОЛИЧЕСТВО ДУХОВ:"	
		"DOTA_Tooltip_ability_minotaur_guardian_spirits_Note0"	"При применении героем Удара Грома духи также его применяют, но урон по одному противнику от нескольких духов не складывается."	

		"DOTA_Tooltip_ability_brewmaster_might"	"Сила"
		"DOTA_Tooltip_ability_brewmaster_might_Description"	"Пивовар увеличивает силу, скорость атаки и перемещения на 15 секунд."
		"DOTA_Tooltip_ability_brewmaster_might_bonus_movespeed_percentage"	"%ДОПЛНИТЕЛЬНАЯ СКОРОСТЬ ПЕРЕМЕЩЕНИЯ:"
		"DOTA_Tooltip_ability_brewmaster_might_bonus_attackspeed"	"ДОПЛНИТЕЛЬНАЯ СКОРОСТЬ АТАКИ:"		
		"DOTA_Tooltip_ability_brewmaster_might_bonus_strength"	"ДОПЛНИТЕЛЬНАЯ СИЛА:"		

		"DOTA_Tooltip_modifier_brewmaster_might"	"Сила"
		"DOTA_Tooltip_modifier_brewmaster_might_Description"	"Сила Пивовара увеличена."

		"DOTA_Tooltip_ability_brewmaster_ferocity"	"Свирепость"
		"DOTA_Tooltip_ability_brewmaster_ferocity_Description"	"Напившись, пивовар, при виде врагов или союзников, увеличивает свою силу."
		"DOTA_Tooltip_ability_brewmaster_ferocity_bonus_strength"	"ДОПОЛНИТЕЛЬНАЯ СИЛА ЗА КАЖДОГО ЮНИТА:"

		"DOTA_Tooltip_modifier_brewmaster_ferocity_lua"	"Свирепость"
		"DOTA_Tooltip_modifier_brewmaster_ferocity_lua_Description"	"Сила, полученная от этой способности."

		"DOTA_Tooltip_ability_brewmaster_punisment"	"Наказание"
		"DOTA_Tooltip_ability_brewmaster_punisment_Description"	"Противники при ударе по пивовару получают урон, который зависит от силы героя."
		"DOTA_Tooltip_ability_brewmaster_punisment_strength_percentage_return_tooltip"	"%СИЛЫ В УРОН:"

		"DOTA_Tooltip_ability_brewmaster_avatar"	"Мощь Гор"
		"DOTA_Tooltip_ability_brewmaster_avatar_Description"	"Защита, сила атаки и запас здоровья Пивовара временно увеличиваются. Кроме того, герой становится невосприимчивым к магии. "
		"DOTA_Tooltip_ability_brewmaster_avatar_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_brewmaster_avatar_bonus_armor"	"ДОПОЛНИТЕЛЬНАЯ БРОНЯ:"
		"DOTA_Tooltip_ability_brewmaster_avatar_bonus_health"	"ДОПОЛНИТЕЛЬНОЕ ЗДОРОВЬЕ:"
		"DOTA_Tooltip_ability_brewmaster_avatar_duration"	"ДЛИТЕЛЬНОСТЬ:"		

		"DOTA_Tooltip_modifier_power_of_the_mountains"	"Мощь Гор"
		"DOTA_Tooltip_modifier_power_of_the_mountains_Description"	"У этого героя увеличены броня, здоровье и урон. Он также невосприимчив к магии."

		"DOTA_Tooltip_ability_akron_explosion"	"Живая Бомба"
		"DOTA_Tooltip_ability_akron_explosion_Description"	"Голем взрывается, нанося себе и врагам в радиусе 225 урон, зависящий максимального здоровья героя. После этого противники загораются, получая ежесекундный урон."
		"DOTA_Tooltip_ability_akron_explosion_hp_prc_dmg"	"%ПРОЦЕНТ ЗДОРОВЬЯ В УРОН:"
		"DOTA_Tooltip_ability_akron_explosion_burn_damage"	"УРОН ПОСЛЕ ВЗРЫВА В СЕКУНДУ:"
		"DOTA_Tooltip_ability_akron_explosion_duration"	"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_akron_explosion_burn"	"Живая Бомба"
		"DOTA_Tooltip_modifier_akron_explosion_burn_Description"	"Этот воин получает урон."

		"DOTA_Tooltip_ability_acron_battle_fevor"	"Боевой Пыл"
		"DOTA_Tooltip_ability_acron_battle_fevor_Description"	"Когда Голем взрывается, он увеличивает защиту и регенерацию здоровья союзников в радиусе 500 на 5 секунд. Также у Голема увеличивается защита от магии."
		"DOTA_Tooltip_ability_acron_battle_fevor_stack_armor"	"ДОПОЛНИТЕЛЬНАЯ ЗАЩИТА:"		
		"DOTA_Tooltip_ability_acron_battle_fevor_stack_health_regen"	"ДОПОЛНИТЕЛЬНАЯ РЕГЕНЕРАЦИЯ ЗДОРОВЬЯ:"		
		"DOTA_Tooltip_ability_acron_battle_fevor_magical_resistance_passive"	"%ДОПОЛНИТЕЛЬНАЯ ЗАЩИТА ОТ МАГИИ:"	

		"DOTA_Tooltip_modifier_acron_battle_fevor_buff"	"Боевой Пыл"
		"DOTA_Tooltip_modifier_acron_battle_fevor_buff_Description" "Регенерация здоровья и защита этого воина увеличены."

		"DOTA_Tooltip_ability_akron_firerage"	"Горящая Душа"
		"DOTA_Tooltip_ability_akron_firerage_Description"	"Враги, атакуя голема, лишь копят в нем ярость. Выдержав %StackForExplosion% ударов, голем взрывается, нанося всем врагам вокруг урон. Каждый нереализованный удар держится 8 секунд. Атака мегабосса или героя считается за %heroStacks%."
		"DOTA_Tooltip_ability_akron_firerage_damage"	"УРОН:"				

		"DOTA_Tooltip_modifier_firerage_datadriven"	"Горящая Душа"
		"DOTA_Tooltip_modifier_firerage_datadriven_Description"	"Выдержано ударов."

		"DOTA_Tooltip_ability_acron_molten_fury"	"Литая Ярость"
		"DOTA_Tooltip_ability_acron_molten_fury_Description"	"Герои, находящиеся в радиусе 300 от Голема загораются, из-за чего у них снижается урон, но увеличивая скорость атаки."
		"DOTA_Tooltip_ability_acron_molten_fury_bonus_attack_speed"	"УВЕЛИЧЕНИЕ СКОРОСТИ АТАКИ:"		
		"DOTA_Tooltip_ability_acron_molten_fury_damage_reduction"	"%СНИЖЕНИЕ УРОНА:"		
		"DOTA_Tooltip_ability_acron_molten_fury_duration"	"ДЛИТЕЛЬНОСТЬ:"	

		"DOTA_Tooltip_modifier_akron_battle_fevor"	"Литая Ярость"
		"DOTA_Tooltip_modifier_akron_battle_fevor_Description"	"У этого воина увеличена скорость атаки, но снижен урон."	

		"DOTA_Tooltip_ability_akron_immolation"	"Жар Преисподней"
		"DOTA_Tooltip_ability_akron_immolation_Description"	"Голем окутывается пламенем, наносящим всем врагам вокруг урон."
		"DOTA_Tooltip_ability_akron_immolation_hellish_heat_tick_damage"	"УРОН В СЕКУНДУ:"			

		"DOTA_Tooltip_modifiers_hellish_heat_check_datadriven"	"Жар Преисподней"
		"DOTA_Tooltip_modifiers_hellish_heat_check_datadriven_Description"	"Этот воин получает урон от Голема."

		"DOTA_Tooltip_ability_akron_ground_slam"	"Литая Ярость"
		"DOTA_Tooltip_ability_akron_ground_slam_Description"	"Мощный удар по земле, снижающий скорость перемещения врагов и наносящий им урон."
		"DOTA_Tooltip_ability_akron_ground_slam_Damage"	"УРОН:"		
		"DOTA_Tooltip_ability_akron_ground_slam_slow_speed_attack_and_movement"	"%СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"			
		"DOTA_Tooltip_ability_akron_ground_slam_duration"	"ДЛИТЕЛЬНОСТЬ:"				

		"DOTA_Tooltip_modifier_eruption_datadriven"	"Литая Ярость"
		"DOTA_Tooltip_modifier_eruption_datadriven_Description"	"Скорость перемещения этого юнита снижена."

		"DOTA_Tooltip_ability_queen_of_spiders_infection"	"Инфекция"
		"DOTA_Tooltip_ability_queen_of_spiders_infection_Description"	"Королева Пауков внедряет в тело противника личинку-паразита. Противник ежесекундно теряет здоровье. Если он погибнет в течение этого срока, то из его тела вылупится паук, который будет сражаться на стороне героя. "
		"DOTA_Tooltip_ability_queen_of_spiders_infection_damage"	"УРОН В СЕКУНДУ:"		
		"DOTA_Tooltip_ability_queen_of_spiders_infection_buff_duration"	"ДЛИТЕЛЬНОСТЬ:"		
		"DOTA_Tooltip_ability_queen_of_spiders_infection_spider_hp_tooltip"	"ЗДОРОВЬЕ ПАУКА:"		
		"DOTA_Tooltip_ability_queen_of_spiders_infection_spider_damage_tooltip"	"УРОН ПАУКА:"			
		"DOTA_Tooltip_ability_queen_of_spiders_infection_spiderling_duration"	"ВРЕМЯ ЖИЗНИ ПАУКА:"			
		"DOTA_Tooltip_ability_queen_of_spiders_infection_count"	"КОЛИЧЕСТВО ПАУКОВ:"	

		"DOTA_Tooltip_modifier_infection"	"Инфекция"
		"DOTA_Tooltip_modifier_infection_Description"	"Этот воин получает урон. При смерти из него появятся пауки."

		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_1"	"Паучий Укус"
		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_1_Description"	"Каждая атака снижает скорость передвижения цели на 10%% на 1 секунду."

		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_2"	"Паучий Укус"
		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_2_Description"	"Каждая атака снижает скорость передвижения цели на 20%% на 1 секунду."

		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_3"	"Паучий Укус"
		"DOTA_Tooltip_ability_queen_of_spiders_spider_poision_3_Description"	"Каждая атака снижает скорость передвижения цели на 30%% на 1 секунду."

		"DOTA_Tooltip_ability_queen_of_spiders_poison"	"Ядовитый Газ"
		"DOTA_Tooltip_ability_queen_of_spiders_poison_Description"	"Оказавшись рядом с Королевой Пауков, вражеские юниты отравляются и получают ежесекундный урон."
		"DOTA_Tooltip_ability_queen_of_spiders_poison_damage_per_second"	"УРОН В СЕКУНДУ:"	

		"DOTA_Tooltip_modifiers_queen_of_spiders_poison_aura"	"Ядовитый Газ"
		"DOTA_Tooltip_modifiers_queen_of_spiders_poison_aura_Description"	"Этот воин получает урон."

		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike"	"Инстинкт Убийцы"
		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike_Description"	"Есть шанс нанести урон всем противникам, находящимся рядом с героем. "
		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike_chance"	"%ШАНС:"
		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike_damage"	"УРОН:"
		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike_full_damage_radius"	"РАДИУС ПОЛНОГО УРОНА:"
		"DOTA_Tooltip_ability_queen_of_spiders_furious_strike_half_damage_radius"	"РАДИУС ПОЛОВИННОГО УРОНА:"		

		"DOTA_Tooltip_ability_queen_of_spiders_endurance"	"Плотный Покров"
		"DOTA_Tooltip_ability_queen_of_spiders_endurance_Description"	"Королева Пауков получает огромную регенерацию здоровья."
		"DOTA_Tooltip_ability_queen_of_spiders_endurance_bonus_health_regen"	"+$hp_regen"	

		"DOTA_Tooltip_modifier_poison_debuff_1"	"Яд"
		"DOTA_Tooltip_modifier_poison_debuff_1_Description"	"Этот воин замедлен."
		"DOTA_Tooltip_modifier_poison_debuff_2"	"Яд"
		"DOTA_Tooltip_modifier_poison_debuff_2_Description"	"Этот воин замедлен."
		"DOTA_Tooltip_modifier_poison_debuff_3"	"Яд"
		"DOTA_Tooltip_modifier_poison_debuff_3_Description"	"Этот воин замедлен."

		"DOTA_Tooltip_ability_butcher_rage"	"Мясорубка"
		"DOTA_Tooltip_ability_butcher_rage_Description"	"Разозлённый Мясник настолько сильно бьет, что задевает всех врагов, стоящих рядом с целью атаки, нанося им урон в зависимости от своего текущего здоровья.<br>Гнев — уникальный модификатор атаки, он не будет сочетаться с другими уникальными модификаторами атаки."
		"DOTA_Tooltip_ability_butcher_rage_hp_damage_percentage"	"%ЗДОРОВЬЯ В УРОН:"			

		"DOTA_Tooltip_modifier_butcher_rage"	"Мясорубка"
		"DOTA_Tooltip_modifier_butcher_rage_Description"	"Мясник наносит урон по площади, зависящий от его здоровья."

		"DOTA_Tooltip_ability_butcher_skin"	"Гнилая Шкура"
		"DOTA_Tooltip_ability_butcher_skin_Description"	"Мясник обрастает шкурой, при этом увеличивается защита, и противникам возвращается часть нанесённого урона."
		"DOTA_Tooltip_ability_butcher_skin_bonus_armor"	"+$armor"		
		"DOTA_Tooltip_ability_butcher_skin_damage_return"	"%ВОЗВРАТ УРОНА:"			
		
		"DOTA_Tooltip_ability_butcher_zombie"	"Зомби"
		"DOTA_Tooltip_ability_butcher_zombie_Description"	"Создает зомби вокруг указанной точки или цели в количестве, равном числу зарядов этой способности. При потере %health_precent_for_zombie%%  здоровья Мясник получает один заряд.  <br>Зомби имеют способность Шкура того же уровня, что и сам Мясник. Запас здоровья зомби зависит от запаса здоровья героя. <br>После использования заклинания все заряды пропадают. Максимальное число зарядов ограничено. При смерти героя способность срабатывает автоматически."
		"DOTA_Tooltip_ability_butcher_zombie_Note0"	"На третьем уровне зомби имеют способность Оглушение."
		"DOTA_Tooltip_ability_butcher_zombie_zombie_base_health"	"БАЗОВОЕ ЗДОРОВЬЕ ЗОМБИ:"		
		"DOTA_Tooltip_ability_butcher_zombie_zombie_butcher_heath_percent"	"ПРОЦЕНТ ЗДОРОВЬЯ ОТ ГЕРОЯ:"	
		"DOTA_Tooltip_ability_butcher_zombie_zombie_base_damage"	"УРОН ЗОМБИ:"	
		"DOTA_Tooltip_ability_butcher_zombie_zombie_limit"	"МАКСИМУМ ЗАРЯДОВ:"	

		"DOTA_Tooltip_modifier_butcher_zombie"	"Зомби"
		"DOTA_Tooltip_modifier_butcher_zombie_Description"	"Число зомби, которые будут призваны. Нужно получить %dMODIFIER_PROPERTY_TOOLTIP% урона для еще одного заряда."

		"DOTA_Tooltip_ability_butcher_zombie_bash"  "Сильный Удар"
		"DOTA_Tooltip_ability_butcher_zombie_bash_Description" "Есть шанс в %bash_chance%%  нанести при атаке %bash_damage% единиц урона и оглушить на %bash_duration% секунды."

		"DOTA_Tooltip_ability_butcher_howl_of_terror"	"Леденящий Крик"
		"DOTA_Tooltip_ability_butcher_howl_of_terror_Description"	"Противников, услышавших леденящий крик, охватывает ужас, и сила их атаки уменьшается."
		"DOTA_Tooltip_ability_butcher_howl_of_terror_damage_penalty_percentage"	"%СНИЖЕНИЕ УРОНА:"		
		"DOTA_Tooltip_ability_butcher_howl_of_terror_duration"	"ДЛИТЕЛЬНОСТЬ:"	
		"DOTA_Tooltip_ability_butcher_howl_of_terror_radius"	"РАДИУС:"		

		"DOTA_Tooltip_modifier_butcher_howl_of_terror"	"Леденящий Крик"
		"DOTA_Tooltip_modifier_butcher_howl_of_terror_Description"	"Урон этого юнита снижен."

		"DOTA_Tooltip_ability_araman_curse"	"Проклятие"
		"DOTA_Tooltip_ability_araman_curse_Description"	"Араман концентрируется и произносит проклятие, которое наносит урон всем противникам около него. Также есть вероятность, что при произношении заклинания противники будут оглушены на 2 секунды. Урон уменьшается с радиусом."
		"DOTA_Tooltip_ability_araman_curse_damage"	"УРОН:"		
		"DOTA_Tooltip_ability_araman_curse_stun_chance"	"%ШАНС ОГЛУШЕНИЯ:"			
		"DOTA_Tooltip_ability_araman_curse_sum_damage"	"СУММАРНЫЙ УРОН:"			
		
		"DOTA_Tooltip_ability_araman_armor_of_darkness"	"Доспехи Тьмы"
		"DOTA_Tooltip_ability_araman_armor_of_darkness_Description"	"Араман получает меньше урона. К тому же увеличивается защита."
		"DOTA_Tooltip_ability_araman_armor_of_darkness_incoming_damage_percentage"	"%СНИЖЕНИЕ ПОЛУЧАЕМОГО УРОНА:"		
		"DOTA_Tooltip_ability_araman_armor_of_darkness_bonus_armor"	"+$armor"		
		
		"DOTA_Tooltip_ability_araman_morale"	"Боевой Дух"
		"DOTA_Tooltip_ability_araman_morale_Description"	"Увеличение урона дружественных войск."
		"DOTA_Tooltip_ability_araman_morale_bonus_damage_percentage"	"%УВЕЛИЧЕНИЕ УРОНА:"			
		
		"DOTA_Tooltip_modifier_araman_morale_effect"	"Боевой Дух"
		"DOTA_Tooltip_modifier_araman_morale_effect_Description"	"Сила атаки увеличена на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

		"DOTA_Tooltip_ability_araman_power_of_scourge"	"Сила Плети"
		"DOTA_Tooltip_ability_araman_power_of_scourge_Description"	"Скорость перемещения и скорость боя увеличиваются. К тому же с каждым ударом Воин Плети наращивает 20 единиц силы атаки. Количество урона от этой способности ограничено."
		"DOTA_Tooltip_ability_araman_power_of_scourge_bonus_attack_speed"	"ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ АТАКИ:"		
		"DOTA_Tooltip_ability_araman_power_of_scourge_bonus_move_speed"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"						
		"DOTA_Tooltip_ability_araman_power_of_scourge_sum_damage_tooltip"	"МАКСИМАЛЬНЫЙ СУММАРНЫЙ УРОН:"		

		"DOTA_Tooltip_modifier_araman_power_of_scourge"	"Сила Плети"
		"DOTA_Tooltip_modifier_araman_power_of_scourge_Description"	"Сила атаки, полученная от этой способности."

		"DOTA_Tooltip_ability_skeleton_mage_aqua_vitae"	"Живая Вода"
		"DOTA_Tooltip_ability_skeleton_mage_aqua_vitae_Description"	"Скелет-Маг обливает указанных юнитов живой водой. Если юнит - союзник скелету, то его здоровье ежесекундно исцеляется. Если враг, то каждую секунду он получает урон."
		"DOTA_Tooltip_ability_skeleton_mage_aqua_vitae_damage"	"УРОН:"		
		"DOTA_Tooltip_ability_skeleton_mage_aqua_vitae_heal"	"ЛЕЧЕНИЕ:"						
		"DOTA_Tooltip_ability_skeleton_mage_aqua_vitae_duration"	"ДЛИТЕЛЬНОСТЬ:"			

		"DOTA_Tooltip_modifier_skeleton_mage_aqua_vitae_all"	"Живая Вода"

		"DOTA_Tooltip_ability_skeleton_mage_light_magic"	"Испытание Веры"
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_Description"	"Cкeлeт-Маг лeчит coюзникoв в радиусе %radius%, a вpaги в этoй жe oблacти пoлyчaют ypoн. На третьем уровне урон и вылеченное здоровье зависят от максимального здоровья цели."
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_damage_constant"	"ПОСТОЯННЫЙ УРОН:"
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_damage_constant_scepter"	"ПОСТОЯННЫЙ УРОН С ПОСОХОМ:"		
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_damage_percentage"	"%ЗДОРОВЬЯ В УРОН:"			
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_damage_percentage_scepter"	"%ЗДОРОВЬЯ В УРОН С ПОСОХОМ:"					
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_heal_constant"	"ПОСТОЯННОЕ ЛЕЧЕНИЕ:"				
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_heal_constant_scepter"	"ПОСТОЯННОЕ ЛЕЧЕНИЕ С ПОСОХОМ:"	
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_heal_percentage"	"%ЗДОРОВЬЯ В ЛЕЧЕНИЕ:"			
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_heal_percentage_scepter"	"%ЗДОРОВЬЯ В ЛЕЧЕНИЕ С ПОСОХОМ:"				
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_aghanim_description"	"Увеличивает урон и лечение, но также увеличивает затраты маны."
		
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff"	"Светлая Магия"
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff_Description"	"Cкeлeт-Маг лeчит coюзникoв вoкpyг, a вpaги в этoй жe oблacти пoлyчaют ypoн. На третьем уровне урон и вылеченное здоровье зависят от максимального здоровья цели."
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff_damage_constant"	"ПОСТОЯННЫЙ УРОН:"		
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff_damage_percentage"	"%ЗДОРОВЬЯ В УРОН:"						
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff_heal_constant"	"ПОСТОЯННОЕ ЛЕЧЕНИЕ:"		
		"DOTA_Tooltip_ability_skeleton_mage_light_magic_staff_heal_percentage"	"%ЗДОРОВЬЯ В ЛЕЧЕНИЕ:"

		"DOTA_Tooltip_ability_skeleton_mage_dark_magic"	"Проклятие Тьмы"
		"DOTA_Tooltip_ability_skeleton_mage_dark_magic_Description"	"Будучи атакованным, Скелет-Маг наносит урон своему обидчику. Если юнит получил урон от этой способности, то в течение следующих %cooldown% секунд, она на него не будет действовать."
		"DOTA_Tooltip_ability_skeleton_mage_dark_magic_damage_return"	"УРОН:"	
		"DOTA_Tooltip_ability_skeleton_mage_dark_magic_damage_return_scepter"	"УРОН С ПОСОХОМ:"			
		"DOTA_Tooltip_ability_skeleton_mage_dark_magic_aghanim_description"	"Увеличивает урон."

		"DOTA_Tooltip_ability_skeleton_mage_death_energy"	"Энергия Смерти"
		"DOTA_Tooltip_ability_skeleton_mage_death_energy_Description"	"Скелет-Маг концентрируется 1 секунду и произносит самое сильное заклинание в своем арсенале. Заклинание мгновенно наносит оказавшимся рядом врагам урон. У задетых юнитов снижается скорость передвижения, и они каждую секунду теряют процент от своего здоровья."
		"DOTA_Tooltip_ability_skeleton_mage_death_energy_damage_initial"	"НАЧАЛЬНЫЙ УРОН:"		
		"DOTA_Tooltip_ability_skeleton_mage_death_energy_damage_percentage"	"%ЗДОРОВЬЯ В УРОН:"						
		"DOTA_Tooltip_ability_skeleton_mage_death_energy_movement_speed_slow_percentage"	"%ЗАМЕДЛЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"		
		"DOTA_Tooltip_ability_skeleton_mage_death_energy_duration"	"ДЛИТЕЛЬНОСТЬ:"			

		"DOTA_Tooltip_modifier_skeleton_mage_death_energy_damage"	"Энергия Смерти"
		"DOTA_Tooltip_modifier_skeleton_mage_death_energy_damage_Description"	"Этот юнит замедлен и получает урон."

		"DOTA_Tooltip_ability_skeleton_thief_wind_walk"	"Стремительность"
		"DOTA_Tooltip_ability_skeleton_thief_wind_walk_Description"	"Король Воров становится невидимым на 8 секунд и начинает двигаться быстрее. При атаке он вновь становиться видимым и наносит дополнительный урон."
		"DOTA_Tooltip_ability_skeleton_thief_wind_walk_bonus_movespeed"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"		
		"DOTA_Tooltip_ability_skeleton_thief_wind_walk_bonus_damage"	"УРОН:"						
				
		"DOTA_Tooltip_ability_skeleton_thief_fury"	"Ярость"
		"DOTA_Tooltip_ability_skeleton_thief_fury_Description"	"Король Воров становиться неуязвимым, к тому же сильно увеличивается его скорость атаки."
		"DOTA_Tooltip_ability_skeleton_thief_fury_bonus_attackspeed"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ АТАКИ:"		
		"DOTA_Tooltip_ability_skeleton_thief_fury_duration"	"ДЛИТЕЛЬНОСТЬ:"			

		"DOTA_Tooltip_modifier_skeleton_thief_fury"	"Ярость"
		"DOTA_Tooltip_modifier_skeleton_thief_fury_Description"	"Этот воин неуязвим, и его скорость атаки увеличена."

		"DOTA_Tooltip_ability_skeleton_thief_shield_of_death"	"Щит Смерти"
		"DOTA_Tooltip_ability_skeleton_thief_shield_of_death_Description"	"Противнику, попытавшемуся атаковать Короля Воров, возвращается урон. Кроме того есть вероятность, что противник также получит еще урон. Урон возвращается только противникам ближнего боя."
		"DOTA_Tooltip_ability_skeleton_thief_shield_of_death_damage_return"	"ПОСТОЯННЫЙ ВОЗВРАЩАЕМЫЙ УРОН:"		
		"DOTA_Tooltip_ability_skeleton_thief_shield_of_death_chance_additional_damage"	"%ШАНС НА ДОПОЛНИТЕЛЬНЫЙ ВОЗВРАТ УРОНА:"						
		"DOTA_Tooltip_ability_skeleton_thief_shield_of_death_additional_damage"	"ДОПОЛНИТЕЛЬНЫЙ ВОЗВРАЩАЕМЫЙ УРОН:"		

		"DOTA_Tooltip_ability_skeleton_thief_concentration"	"Концентрация"
		"DOTA_Tooltip_ability_skeleton_thief_concentration_Description"	"Король Вор получает шанс нанести критический урон. Если его никто не атакует, то шанс увеличивается каждую секунду на начальное значение. Если же герой получил урон, то кртический удар будет нанесён с уже накопленной вероятностью. Максимальный шанс ограничен."
		"DOTA_Tooltip_ability_skeleton_thief_concentration_crit_mult"	"%КРИТИЧЕСКИЙ УРОН:"		
		"DOTA_Tooltip_ability_skeleton_thief_concentration_crit_chance"	"%НАЧАЛЬНЫЙ ШАНС КРИТИЧЕСКОГО УДАРА:"						
		"DOTA_Tooltip_ability_skeleton_thief_concentration_crit_chance_cap"	"%МАКСИМАЛЬНЫЙ ШАНС:"	

		"DOTA_Tooltip_modifier_skeleton_thief_concentration_attack"	"Концентрация"
		"DOTA_Tooltip_modifier_skeleton_thief_concentration_attack_Description" "Шанс нанести критический удар."

		"DOTA_Tooltip_ability_skeleton_thief_obsession"	"Одержимость"
		"DOTA_Tooltip_ability_skeleton_thief_obsession_Description"	"Каждый пятый удар Король Воров наносит своей жертве дополнительный физический урон."
		"DOTA_Tooltip_ability_skeleton_thief_obsession_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"	

		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood"	"Кровавый Червь"
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_Description"	"Сотканный из Крови посылает магического червя, который наносит урон противникам и лечит героя с каждой целью."
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_damage"	"УРОН:"
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_damage_scepter"	"УРОН С ПОСОХОМ:"		
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_heal_per_target"	"ЛЕЧЕНИЕ ЗА ЦЕЛЬ:"		
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_bounces"	"ЧИСЛО ЦЕЛЕЙ:"
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_bounces_scepter"	"ЧИСЛО ЦЕЛЕЙ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_manacost_scepter"	"ЗАТРАТЫ МАНЫ С ПОСОХОМ:"			
		"DOTA_Tooltip_ability_vowen_from_blood_steal_blood_aghanim_description"	"Увеличивает урон и число целей, но также увеличивает затраты маны."		

		"DOTA_Tooltip_ability_vowen_from_blood_spiritual_flame"	"Духовное Пламя"
		"DOTA_Tooltip_ability_vowen_from_blood_spiritual_flame_Description"	"Сила атаки и скорость восстановления здоровья указанного дружественного воина повышаются."
